time,latitude,longitude,altitude,timestamp,horizontal_accuracy,vertical_accuracy,speed,course
17:32:08,34.29236227,134.0637305,27.52122116,1563265928,65,48.04122543,-1,-1
17:32:11,34.29235838,134.0636859,25.0953064,1563265931,5,4,0.360000014,-1
17:32:14,34.29231898,134.0636798,26.7572937,1563265934,5,4,0.239999995,-1
17:32:17,34.29230239,134.063669,26.50204468,1563265937,5,3,0.469999999,297.7734375
17:32:20,34.29228898,134.0636345,26.5385437,1563265940,5,3,1.289999962,245.390625
17:32:23,34.29227678,134.0635636,26.43515015,1563265943,5,3,1.830000043,265.078125
17:32:26,34.29227435,134.063443,25.93130493,1563265946,5,3,3.589999914,262.96875
17:32:29,34.2922666,134.0633232,25.8374939,1563265949,5,3,2.890000105,266.1328125
17:32:32,34.29225905,134.0631961,25.44802856,1563265952,5,3,3.519999981,260.5078125
17:32:35,34.29225113,134.0630881,25.68331909,1563265955,5,3,1.850000024,281.6015625
17:32:38,34.29233512,134.0630497,25.74811606,1563265958,5,3,3.529999971,351.5625
17:32:41,34.29243059,134.0630177,26.06251005,1563265961,5,3,4.010000229,338.5546875
17:32:44,34.29254152,134.0629963,25.91644263,1563265964,5,3,4.110000134,346.9921875
17:32:47,34.29259349,134.0628836,25.80190601,1563265967,5,3,4.010000229,305.15625
17:32:50,34.29268624,134.0628502,25.92113109,1563265970,5,3,3.710000038,349.1015625
17:32:53,34.29278384,134.0628402,26.10926892,1563265973,5,3,3.420000076,350.5078125
17:32:56,34.29287093,134.062834,26.39581075,1563265976,5,3,3.279999971,352.6171875
17:32:59,34.29292395,134.062828,26.57437935,1563265979,5,3,3.089999914,350.15625
17:33:03,34.29301594,134.0627747,26.29201211,1563265982,5,3,3.829999924,341.015625
17:33:06,34.29312641,134.0626042,25.64468978,1563265986,5,3,3.99000001,267.1875
17:33:09,34.29310835,134.0624659,25.64813116,1563265989,5,3,3.809999943,259.453125
17:33:12,34.2930739,134.0623399,25.99472037,1563265992,5,3,3.839999914,259.1015625
17:33:15,34.29304004,134.0622196,25.92256261,1563265995,5,3,3.710000038,260.5078125
17:33:18,34.29301305,134.0621004,26.14548797,1563265998,5,3,3.75999999,253.4765625
17:33:21,34.29298857,134.0619834,26.27251418,1563266001,5,3,4.449999809,261.2109375
17:33:24,34.29296322,134.0618413,26.38005257,1563266004,5,3,3.789999962,250.3125
17:33:27,34.29294142,134.0616953,26.65285618,1563266007,5,3,4.25,256.640625
17:33:30,34.29291485,134.061548,26.84525693,1563266010,5,3,4.300000191,261.5625
17:33:33,34.29289495,134.0614043,27.11867916,1563266013,5,3,4.28000021,262.265625
17:33:36,34.29292634,134.0612834,27.03897063,1563266016,5,3,3.980000019,333.6328125
17:33:39,34.29303471,134.0612475,27.12183092,1563266019,5,3,4.210000038,351.2109375
17:33:42,34.29308882,134.0611538,27.170163,1563266022,5,3,3.930000067,258.3984375
